SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,,,,
ANSALAPI,9.45,9.45,9.15,9.25,9.25,,,,
ANSALHSG,6.5,6.7,6.3,6.35,6.3,,,,
ANTGRAPHIC,0.85,0.85,0.75,0.85,0.85,,,,
ANUP,1083.8,1108.3,1036.9,1092.4,1082,,,,
ANURAS,745,749.7,731.2,738.15,734,,,,
APARINDS,674.95,678.85,658,660.4,660,,,,
APCL,430,430,423.05,425.75,426.8,,,,
APCOTEXIND,433.4,441.3,406,409.85,409.9,,,,
APEX,300.85,319.5,300.85,304.75,304,,,,
APLAPOLLO,1882.8,1890,1840,1880,1885,,,,
APLLTD,775.25,783.9,773.9,780.2,780,,,,
APOLLO,127.5,129,123.55,126.4,125.15,,,,
APOLLOHOSP,4773,4773,4696.7,4732.45,4725,,,,
APOLLOPIPE,1580,1592.9,1541,1551.15,1548.9,,,,
APOLLOTYRE,215.95,221.9,215.3,221.05,221.15,,,,
APOLSINHOT,810.5,822.05,800,803.2,809,,,,
APTECHT,287,291.05,283,284.1,284.4,,,,
APTUS,361,365.9,360.05,361.3,362,,,,
ARCHIDPLY,31.5,32.3,30.9,31.85,31.75,,,,
ARCHIES,17.95,18.3,17.8,17.95,17.8,,,,
ARENTERP,29.7,29.7,29.7,29.7,29.7,,,,
ARIES,149.3,154.4,149,152.35,152.2,,,,
ARIHANT,26.25,28.3,26.2,27.5,27.75,,,,
ARIHANTCAP,142,144.5,138.2,139,139.3,,,,
ARIHANTSUP,119.05,124,118.5,123.15,121.9,,,,
ARMANFIN,889,910,871.65,879.95,881.8,,,,
AROGRANITE,72,72.45,69.7,69.85,69.8,,,,
ARROWGREEN,134.95,136.25,129.05,130.45,131.5,,,,
ARSHIYA,29.8,29.8,28.5,28.6,28.7,,,,
ARSSINFRA,31.8,31.8,29.45,29.45,29.45,,,,
ARTEMISMED,388.8,393.35,367.1,370.95,374.6,,,,
ARVEE,92,93.4,90,93.4,93.4,,,,
ARVIND,98.1,98.3,95.3,95.7,96,,,,
ARVINDFASN,265,267.7,250,254.1,253.5,,,,
ARVSMART,151,151,145.75,147.05,146.4,,,,
ASAHIINDIA,377.85,384,375.05,377,378,,,,
ASAHISONG,369.75,369.75,352.25,354.3,357,,,,
ASAL,57.85,59,56.1,57.1,57,,,,
ASALCBR,444,448.85,440.8,443.6,444,,,,
ASHAPURMIN,128.05,133.45,128.05,128.05,128.05,,,,
ASHIANA,188.55,193.65,183,189.45,188.15,,,,
ASHIMASYN,18.65,18.65,17.95,18.05,18,,,,
ASHOKA,104.45,105,102,102.25,102.3,,,,
ASHOKLEY,124,125.45,123.7,124.85,124.95,,,,
ASIANHOTNR,85.8,88,84,87.5,87.45,,,,
ASIANPAINT,3384.9,3388.6,3356.85,3362.5,3362.5,,,,
ASIANTILES,161.9,162.85,157.2,159.35,157.25,,,,
ASPINWALL,182.1,196,171.95,190.9,191.2,,,,
ASTEC,1347,1398,1337.5,1361.3,1358.9,,,,
ASTERDM,232.45,237,230.6,233.85,233.7,,,,
ASTRAL,2157,2157,2098,2107.05,2107.5,,,,
ASTRAMICRO,174.8,174.8,169.1,170.75,170.9,,,,
ASTRAZEN,3101,3142,3101,3136.6,3140,,,,
ASTRON,59.95,61.4,58.4,58.85,58.95,,,,
ATALREAL,102,103.9,100.5,103.75,103.75,,,,
ATFL,1043,1075,1016.25,1041.4,1046.9,,,,
ATGL,1369.95,1385.1,1340,1375,1375,,,,
ATLANTA,14.85,14.85,13.7,14.25,14.15,,,,
ATUL,9605,9898,9605,9850.25,9890,,,,
ATULAUTO,198,203,197.05,199.85,199.5,,,,
AUBANK,1150,1166.95,1124.05,1134,1137,,,,
AURDIS,70.9,70.95,67,67,67,,,,
AURIONPRO,199,208.95,199,200.25,199,,,,
AUROPHARMA,736.15,750.9,733.6,748.05,747.95,,,,
AUSOMENT,72.95,74.5,71.35,73.7,73.7,,,,
AUTOAXLES,1234.05,1237.95,1215,1218.75,1218,,,,
AUTOIND,55,57.45,54.15,57.45,57.45,,,,
AVADHSUGAR,415.9,444.8,414.45,434.15,443.4,,,,
AVANTIFEED,565.05,577.85,561,564.45,564.8,,,,
AVG,60.1,62.1,60.1,62.1,62.1,,,,
AVTNPL,76.55,82.4,76.55,80.75,80.5,,,,
AWHCL,420,450.9,416.85,445.15,448,,,,
AXISBANK,791,801,790,794.4,793,,,,
AXISBNKETF,368,374,366.55,367.64,367.55,,,,
AXISBPSETF,10.35,10.35,10.34,10.34,10.34,,,,
AXISCADES,69.8,72.7,69.8,72.7,72.7,,,,
AXISGOLD,40.89,40.89,40.63,40.72,40.76,,,,
AXISHCETF,90.02,90.75,89.39,90.22,90.3,,,,
AXISNIFTY,181,182.6,181,181.24,181.19,,,,
AXISTECETF,351.99,355,351.99,352.91,353,,,,
AYMSYNTEX,98.55,101.65,97.35,97.75,97.55,,,,
BAFNAPH,131.5,133.4,127.25,130.8,131,,,,
BAGFILMS,2.85,2.85,2.85,2.85,2.85,,,,
BAJAJ-AUTO,3717.4,3767,3690,3751.05,3754.55,,,,
BAJAJCON,262,265,260.4,262.35,262.4,,,,
BAJAJELEC,1335,1389.8,1325.45,1381,1380.05,,,,
BAJAJFINSV,17000,17040,16795.8,16831.25,16840,,,,
BAJAJHIND,14.6,15.25,14.3,15.1,15.25,,,,
BAJAJHLDNG,4329.95,4329.95,4258.85,4282.2,4288.7,,,,
BAJFINANCE,7480,7530,7408,7417.55,7415,,,,
BALAJITELE,61.65,63.7,61.5,62.85,62.7,,,,
BALAMINES,4735,5005,4675,4974.8,5000,,,,
BALAXI,557.2,565,551.7,554.25,556,,,,
BALKRISIND,2460,2502.95,2435.6,2472.5,2465.4,,,,
BALLARPUR,1.4,1.4,1.4,1.4,1.4,,,,
BALMLAWRIE,136,136.4,135,135.85,136.1,,,,
BALPHARMA,99.55,99.55,96.15,98.2,98.1,,,,
BALRAMCHIN,367.3,368.55,359,360.1,359.7,,,,
BANARBEADS,68.6,68.6,65.7,66,66.05,,,,
BANARISUG,1769.65,1820,1755.1,1797.45,1820,,,,
BANCOINDIA,209.9,213.15,200.65,206.05,207.85,,,,
BANDHANBNK,284.55,287.5,283.5,284.35,284.45,,,,
BANG,34.45,36,33.15,35.95,36,,,,
BANKA,82.5,88.9,82.5,83.95,85.95,,,,
BANKBARODA,78.7,79.05,78.1,78.65,78.45,,,,
BANKBEES,369.99,369.99,367.82,368.41,368.6,,,,
BANKINDIA,56.3,56.7,55.95,56.1,56.2,,,,
BANSWRAS,181,181,175,175.35,175.2,,,,
BARBEQUE,1132,1182,1117.8,1130.6,1128,,,,
BARTRONICS,2.8,2.95,2.75,2.85,2.85,,,,
BASF,3434.45,3471.75,3400,3404.95,3403,,,,
BASML,62.1,64.5,62,62.45,62.6,,,,
BATAINDIA,1778,1799.95,1769.5,1793.6,1799.9,,,,
BAYERCROP,5525,5525,5443,5466.15,5472,,,,
BBL,1395,1409.45,1356,1386.9,1386,,,,
BBTC,1201,1217.2,1198,1204.6,1205,,,,
BCG,34.8,35.9,34.5,35.9,35.9,,,,
BCLIND,241.6,247.75,239,240.1,240.5,,,,
BCONCEPTS,35.4,35.45,35.4,35.45,35.45,,,,
BCP,3.7,3.75,3.6,3.7,3.7,,,,
BDL,390,396.7,390,394,392.85,,,,
BEARDSELL,13.75,14.1,13.35,13.9,14,,,,
BECTORFOOD,425,427.95,418.25,422.9,421.5,,,,
BEDMUTHA,38.2,39.6,37.55,38,38.5,,,,
BEL,195.45,204,194.7,202.4,202.65,,,,
BEML,1348.7,1443,1343.75,1433.45,1435,,,,
BEPL,182.55,184.7,180.5,181.3,181.5,,,,
BERGEPAINT,844,847,833.6,834.85,835.6,,,,
BESTAGRO,821,823.15,772.45,781.8,772.45,,,,
BETA,400,423,383.5,404.2,404.45,,,,
BFINVEST,363.7,378.9,362.5,364.45,367,,,,
BFUTILITIE,416.9,426.85,416.9,420.05,421.4,,,,
BGRENERGY,61.5,63.5,60.75,62,61.75,,,,
BHAGERIA,250.5,255.6,249.25,251.95,253,,,,
BHAGYANGR,52.55,54.75,51.45,52.15,51.55,,,,
BHAGYAPROP,29.65,31.5,29.6,30.85,30,,,,
BHANDARI,2.9,2.9,2.8,2.9,2.9,,,,
BHARATFORG,776,791.85,774,780.05,778.95,,,,
BHARATGEAR,151,153.9,148.05,148.75,149,,,,
BHARATRAS,12839.9,13047.95,12705,12798.7,12760,,,,
BHARATWIRE,64.4,66.5,64.4,66.5,66.5,,,,
BHARTIARTL,695,699.7,689.1,694.2,694.8,,,,
BHEL,55.4,58.5,55.2,58,58.4,,,,
BIGBLOC,115,115.55,112,112.4,112.1,,,,
BIL,220,220,210.05,212.6,213,,,,
BINDALAGRO,23.15,23.8,22.9,23.3,23.15,,,,
BIOCON,355,356.4,353,355.7,355.9,,,,
BIOFILCHEM,63.85,63.85,62.85,63.15,63.35,,,,
BIRET,276.89,276.89,273,274.07,274,,,,
BIRLACABLE,83.35,85.4,83.35,84.55,85.2,,,,
BIRLACORPN,1336.7,1348,1307,1323.75,1322,,,,
BIRLAMONEY,62.5,62.5,61,61.75,61.85,,,,
BIRLATYRE,25,25,24.5,24.7,24.8,,,,
BKMINDST,1.35,1.35,1.3,1.35,1.35,,,,
BLBLIMITED,10.25,10.5,9.7,9.95,9.95,,,,
BLISSGVS,111,113.15,110.3,110.65,110.8,,,,
BLKASHYAP,24.35,25,23.95,24.7,24.9,,,,
BLS,247.2,260,244,251.25,251.9,,,,
BLUEDART,6417,6456,6340.05,6379.45,6361.85,,,,
BLUESTARCO,848,859.45,841.6,852.05,851.05,,,,
BODALCHEM,108.6,113,108.1,109.55,109.6,,,,
BOHRA,2.95,3.25,2.95,3.25,3.25,,,,
BOMDYEING,96.45,97.8,95.55,96,95.75,,,,
BOROLTD,239.75,246.7,226.1,227.75,228,,,,
BORORENEW,335,337,312.2,323.25,320.55,,,,
BOSCHLTD,14585,14720,14500,14569,14563.9,,,,
BPCL,501,503,490.5,493.1,492.95,,,,
BPL,66.9,66.9,66.9,66.9,66.9,,,,
BRFL,6.95,7.2,6.95,6.95,7.1,,,,
BRIGADE,402.45,409.9,400,401.3,401.4,,,,
BRIGHT,5.05,5.3,4.8,5.2,5.15,,,,
BRITANNIA,4097,4153,4082.4,4101.5,4109,,,,
BRITANNIA,30.97,31.05,30.97,31.04,31.04,,,,
BRITANNIA,29.6,29.8,29.6,29.65,29.65,,,,
BRNL,30.25,31.45,30,30.2,30.35,,,,
BROOKS,137.4,141.3,135,136.65,136,,,,
BSE,1235.55,1255,1221.2,1229.65,1225,,,,
BSHSL,297.95,297.95,290,290.3,290.05,,,,
BSL,66.5,66.9,64.5,64.8,65.2,,,,
BSLGOLDETF,4287.05,4307.5,4287,4295,4295,,,,
BSLNIFTY,194.49,194.49,190.95,191.79,193.05,,,,
BSOFT,410.5,411.3,408,408.9,409.4,,,,
BURGERKING,158.55,161.85,158.5,159.95,160,,,,
BURNPUR,3.3,3.3,3.1,3.1,3.1,,,,
BUTTERFLY,838.9,858,838.9,839.95,839.4,,,,
BVCL,24.5,25.5,23.6,24.8,25.5,,,,
BYKE,28,28.6,27.5,28.5,28.15,,,,
CADILAHC,556,563.4,553.5,560.85,561.35,,,,
CALSOFT,19.6,19.6,19.6,19.6,19.6,,,,
CAMLINFINE,172.65,178.4,171.3,174.25,174.1,,,,
CAMS,3624,3674,3600,3608.5,3602,,,,
CANBK,157,157.9,154.65,155.25,155.5,,,,
CANDC,3.45,3.6,3.45,3.45,3.45,,,,
CANFINHOME,634.7,641.5,627.5,630.35,631,,,,
CANTABIL,525,577.3,482.6,511.05,511,,,,
CAPACITE,170.6,177.65,168.55,172.35,172,,,,
CAPLIPOINT,960.8,965,912.8,925.9,926.5,,,,
CAPTRUST,102.6,109.35,102.55,109.35,109.35,,,,
CARBORUNIV,920,951.95,905.2,928.15,923,,,,
CAREERP,162.35,166,162.05,162.5,162.2,,,,
CARERATING,733.85,739,727.2,730.8,732.9,,,,
CARTRADE,1524,1529.95,1492.75,1510.9,1503.1,,,,
CASTROLIND,139.5,140.4,138.1,138.45,138.55,,,,
CCHHL,6.65,6.65,6.2,6.55,6.65,,,,
CCL,407,413,403.4,405.65,405,,,,
CDSL,1439,1439,1321,1349.45,1345,,,,
CEATLTD,1316,1350,1310.5,1338.45,1338,,,,
CEBBCO,35.4,35.4,33.8,34.25,34.75,,,,
CELEBRITY,9.2,9.45,8.8,9.45,9.45,,,,
CENTENKA,442,467.45,442,454.95,456.7,,,,
CENTEXT,10.35,10.5,9.9,9.95,10,,,,
CENTRALBK,20.5,20.7,20.45,20.55,20.55,,,,
CENTRUM,35.15,35.45,34.5,35,34.9,,,,
CENTUM,472.5,474,460,464.5,463,,,,
CENTURYPLY,415.65,419.45,411.25,415.2,413.5,,,,
CENTURYTEX,850,855.6,840.6,846.45,844.05,,,,
CERA,4413,4470,4386.2,4453.65,4450.4,,,,
CEREBRAINT,58.6,58.6,56.8,57.2,57.15,,,,
CESC,840,894,839,880.85,879,,,,
CGCL,501.75,506,501.45,503.45,504.9,,,,
CGPOWER,89.25,90.9,88.5,89.5,89.7,,,,
CHALET,185.15,188.15,184,184.9,185,,,,
CHAMBLFERT,317,322.6,317,320.3,319.9,,,,
CHEMBOND,230.4,232,225.5,226.35,225.5,,,,
CHEMCON,441.1,468.45,441.1,465.7,468.45,,,,
CHEMFAB,157.9,164,156.65,160.9,161.75,,,,
CHEMPLASTS,569.85,574.2,555,558,559,,,,
CHENNPETRO,111.1,112.9,110.5,111.05,110.8,,,,
CHOLAFIN,590,595,579.45,581.25,580,,,,
CHOLAHLDNG,670,674.95,655.85,659.8,659.9,,,,
CIGNITITEC,579,584.8,572,579.1,579.15,,,,
CINELINE,100.45,101,97.45,100.5,100.5,,,,
CINEVISTA,14.05,14.8,14.05,14.45,14.6,,,,
CIPLA,954.8,958.35,949.6,953.15,952.15,,,,
CLEAN,1681.05,1706.95,1678,1698.4,1701,,,,
CLEDUCATE,146.75,149.5,142.55,145,144,,,,
CLNINDIA,588,588,571,575.5,577.4,,,,
CLSEL,119.8,123,116.6,120.6,120.1,,,,
CMICABLES,49,50.35,48.4,49.3,49,,,,
CMMIPL,18.05,18.1,18.05,18.1,18.1,,,,
COALINDIA,155.35,155.5,153.35,154.7,154.6,,,,
COCHINSHIP,371.45,377.75,366.35,375.1,376,,,,
COFFEEDAY,28.15,28.3,27.7,27.9,28,,,,
COFORGE,5205,5339.65,5170,5295.55,5294,,,,
COLPAL,1731.95,1737.8,1724.95,1732.95,1732,,,,
COMPINFO,26.9,27.6,26.45,26.65,26.5,,,,
COMPUSOFT,13.4,13.95,13.3,13.65,13.65,,,,
CONCOR,740,745.6,725.5,729.1,728.9,,,,
CONFIPET,80.25,81.55,77.65,79.75,80,,,,
CONSOFINVT,162.5,162.5,149.65,152.35,152.1,,,,
CONTI,6.65,6.95,6.65,6.95,6.95,,,,
CONTROLPR,340,341,334.15,336.15,335.4,,,,
CORALFINAC,39.8,39.8,38.55,38.95,39.1,,,,
CORDSCABLE,54.25,55.2,53.95,54.75,55,,,,
COROMANDEL,834.5,835.95,821.65,827.2,827.15,,,,
COSMOFILMS,1377.45,1598.6,1373.3,1556.25,1558,,,,
COUNCODOS,2.95,3.15,2.95,2.95,3,,,,
COX&KINGS,1.7,1.7,1.7,1.7,1.7,,,,
CPSEETF,26.8,27.05,26.68,26.97,26.96,,,,
CRAFTSMAN,1985.6,1990,1961.2,1966.45,1964.8,,,,
CREATIVE,228.95,236.5,226,226.9,227,,,,
CREATIVEYE,3.05,3.05,3,3,3,,,,
CREDITACC,684.9,688.45,669,672.25,673.95,,,,
CREST,121,124,120.6,123.05,123,,,,
CRISIL,2841.7,2844.25,2780.65,2797.1,2791,,,,
CROMPTON,489.65,495.3,483.05,489.9,489,,,,
CROWN,96.85,96.85,96.85,96.85,96.85,,,,
CSBBANK,300.35,304.8,297.7,303.35,302,,,,
CTE,54.65,57.25,54.65,57.25,57.25,,,,
CUB,155.8,159.3,155.7,156.9,157.25,,,,
CUBEXTUB,22.85,23.3,22.05,22.75,22.7,,,,
CUMMINSIND,1045,1049.3,1026.75,1038.65,1037.45,,,,
CUPID,235.8,236.7,230.7,232,232.9,,,,
CYBERMEDIA,9.9,10.5,9.9,10,10,,,,
CYBERTECH,167.9,170.95,166.65,167.35,167.5,,,,
CYIENT,1059.1,1059.1,1020.75,1041.9,1036.4,,,,
DAAWAT,65,67.4,64.8,65.1,65.1,,,,
DABUR,640.2,640.95,634.75,639.2,639.3,,,,
DALBHARAT,2425,2548.4,2415.15,2447.85,2420,,,,
DALMIASUG,403,421,403,417.15,420.2,,,,
DAMODARIND,43,45.9,43,44.75,44.75,,,,
DANGEE,197,198.2,196.25,196.25,196.25,,,,
DATAMATICS,311,313.1,307,308.55,308.95,,,,
DBCORP,89,94.95,88.95,94,93.8,,,,
DBL,519.85,523,514.5,517.55,519,,,,
DBREALTY,30,32.5,28.4,30.05,30,,,,
DBSTOCKBRO,19.8,19.8,18.45,19.05,19.1,,,,
DCAL,213.85,217.45,205.5,210.25,209,,,,
DCBBANK,95,95.1,93.35,93.95,93.8,,,,
DCI,66.5,66.5,66.5,66.5,66.5,,,,
DCM,49.15,49.35,46.55,47.85,47.9,,,,
DCMFINSERV,2.3,2.3,2.3,2.3,2.3,,,,
DCMNVL,203,220.5,203,220.5,220.5,,,,
DCMSHRIRAM,985,997,962,971.65,969,,,,
DCW,37.05,39.65,36.7,39.2,39.15,,,,
DECCANCE,750,757,742.55,750.45,748,,,,
DEEPAKFERT,415,420.8,412,416.95,418,,,,
