SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,,,,
EBBETF0430,1169,1180,1169,1178.09,1178,,,,
EBBETF0431,1056.5,1060,1055.55,1057.94,1057.7,,,,
EC2RG,13.47,13.47,13.47,13.47,13.47,,,,
EC5RG,16.5,16.5,16.5,16.5,16.5,,,,
ECLERX,2201,2255,2201,2238.1,2241,,,,
ECLFINANCE,984.26,984.26,984.26,984.26,984.26,,,,
ECLFINANCE,1280,1280,1280,1280,1280,,,,
ECLFINANCE,980,980,980,980,980,,,,
ECLFINANCE,946,946,935,945.97,946,,,,
ECLFINANCE,895,895,890,890,890,,,,
ECLFINANCE,1065,1067.8,1060,1060,1060,,,,
ECLFINANCE,1280,1292,1280,1289.97,1289.85,,,,
ECLFINANCE,993.6,993.6,993.6,993.6,993.6,,,,
ECLFINANCE,1059.9,1061,1042,1060.97,1060.97,,,,
ECLFINANCE,1255.11,1255.11,1255.11,1255.11,1255.11,,,,
ECLFINANCE,1005,1014,1005,1009.38,1007,,,,
ECLFINANCE,1012,1015.1,1012,1015,1015,,,,
EDELWEISS,81.55,82.5,80.05,80.95,81.05,,,,
EDUCOMP,2.95,3,2.8,3,3,,,,
EHFLNCD,965,969.99,960,966,966,,,,
EHFLNCD,940,940,938.01,939.44,938.01,,,,
EICHERMOT,2818.8,2870,2809.65,2820.3,2814,,,,
EIDPARRY,428.65,429,415.25,422,422.6,,,,
EIFFL,84.5,84.5,84.5,84.5,84.5,,,,
EIHAHOTELS,335,342,329.35,339.95,341.95,,,,
EIHOTEL,110.6,111.6,108.6,109.75,110,,,,
EIMCOELECO,417.95,428.25,406.4,414.95,415.05,,,,
EKC,129.8,133.45,127.5,128.7,128.95,,,,
ELECON,177.55,179.05,174,176.05,176.8,,,,
ELECTCAST,41.2,41.5,39.15,39.9,40.25,,,,
ELECTHERM,129,130.45,126.1,128.25,128.35,,,,
ELGIEQUIP,198.65,202,198,198.4,199,,,,
ELGIRUBCO,39.5,39.5,38.5,38.75,38.9,,,,
EMAMILTD,591.65,607.95,589.95,594.5,594,,,,
EMAMIPAP,167,168.7,165.25,165.75,165.85,,,,
EMAMIREAL,67.55,70.95,65.55,69.15,69.2,,,,
EMBASSY,372.48,377,372.02,374.21,373.89,,,,
EMCO,1.9,1.9,1.8,1.85,1.85,,,,
EMKAY,118.1,119.5,118.1,118.45,118.45,,,,
EMMBI,101.9,106.15,101.8,103.65,104.35,,,,
ENDURANCE,1612,1645.25,1583,1592.05,1585,,,,
ENERGYDEV,9.3,9.6,9.05,9.25,9.2,,,,
ENGINERSIN,72.85,73.5,72.65,73,73.05,,,,
ENIL,211.75,211.8,205.5,206.3,205.5,,,,
EPL,240.6,252.8,239.2,242.5,242.35,,,,
EQ30,413,413.94,402.02,411.84,412.5,,,,
EQUITAS,129.6,130.55,127.05,127.8,127.05,,,,
EQUITASBNK,60.25,61.25,59.6,60.85,61,,,,
ERFLNCDI,890.2,890.2,886.2,886.2,886.2,,,,
ERFLNCDI,890,900,890,900,900,,,,
ERIS,764.35,769.05,755,761.25,759.35,,,,
EROSMEDIA,16.9,17.6,16.5,17.6,17.6,,,,
ESABINDIA,2275,2285.25,2194.05,2231.15,2226.5,,,,
ESCORTS,1382,1478,1377.55,1466,1461.9,,,,
ESSARSHPNG,10.05,10.2,9.9,10.05,10.2,,,,
ESTER,149.45,156.75,148.15,152.5,152.4,,,,
EVEREADY,331.95,346.95,329.75,338.95,337.1,,,,
EVERESTIND,442.3,453.1,442.3,446.2,447.95,,,,
EXCEL,3.5,3.5,3.3,3.4,3.4,,,,
EXCELINDUS,1076.5,1119,1076.5,1092.75,1094.75,,,,
EXIDEIND,184.2,185.15,182,182.6,182.25,,,,
EXPLEOSOL,1087.05,1120.4,1086,1120.4,1120.4,,,,
EXXARO,155.9,162.45,154.25,155.85,155.55,,,,
FACT,126.25,128,125.2,126.05,126.25,,,,
FAIRCHEMOR,1925,1929.6,1872,1880.3,1887.3,,,,
FCL,126.5,129.7,122.6,125.75,125.45,,,,
FCONSUMER,7.55,7.7,7.5,7.55,7.55,,,,
FCSSOFT,1.4,1.45,1.35,1.4,1.45,,,,
FDC,370,371.9,361.5,363.6,363.85,,,,
FEDERALBNK,82.5,82.9,81.95,82.35,82.3,,,,
FEL,9,9.25,8.8,9.1,9.1,,,,
FELDVR,11.9,12.2,11.65,11.85,11.85,,,,
FELIX,44.9,44.9,42,44.45,44.65,,,,
FIEMIND,1194.25,1223,1150,1175.3,1180,,,,
FILATEX,106,110.25,106,108.55,108.5,,,,
FINCABLES,517.4,531,506.85,523.2,525,,,,
FINEORG,3192,3246.65,3156.7,3219.65,3230.15,,,,
FINPIPE,180.9,186,180.25,184.95,185.5,,,,
FLEXITUFF,15.45,15.45,14.75,14.95,15,,,,
FLFL,51.25,52.5,51.25,51.5,51.8,,,,
FLUOROCHEM,1730,1734,1690,1693.45,1691.9,,,,
FMGOETZE,289.95,290.5,286.5,289.1,289.75,,,,
FMNL,9.15,9.15,8.8,8.95,9,,,,
FOCUS,58,58,55,56,56,,,,
FORCEMOT,1417.95,1480,1416.25,1463.35,1475,,,,
FORTIS,273,280.3,273,277.35,278,,,,
FOSECOIND,1511,1528,1493,1500.5,1495.2,,,,
FRETAIL,47.95,48.45,46.8,47.3,47.4,,,,
FSC,71.5,75,71.5,73.6,74.1,,,,
FSL,203.8,206.4,200.25,202.65,202.5,,,,
GABRIEL,142.9,143,140,140.5,140.5,,,,
GAEL,178.7,179.7,177.05,177.6,177.9,,,,
GAIL,147.2,156.65,147.2,156,156.05,,,,
GAL,2.25,2.3,2.2,2.25,2.25,,,,
GALAXYSURF,3250,3575.2,3226.2,3515.35,3515.05,,,,
GALLANTT,75.95,76,72.4,72.65,72.85,,,,
GALLISPAT,58.9,59.8,56.6,57.65,58.3,,,,
GANDHITUBE,457.95,471.4,451.7,462.8,464.9,,,,
GANECOS,514.7,514.7,497.15,500.2,500,,,,
GANESHHOUC,164.5,171,163.15,165.95,165.5,,,,
GANGAFORGE,15.4,15.8,15.15,15.3,15.4,,,,
GANGESSECU,90.55,92,88.8,90.75,90.6,,,,
GARFIBRES,3480,3480,3402.1,3427.9,3425,,,,
GATI,142.4,142.7,139.9,140.85,140.75,,,,
GAYAPROJ,56.95,59.95,56.05,58.7,58.9,,,,
GDL,258.75,258.75,252.9,254.55,255,,,,
GEECEE,146,148.1,145.05,145.4,145.2,,,,
GEEKAYWIRE,85,87.45,85,86.1,86.85,,,,
GENCON,47.9,47.9,44.2,45.05,45.25,,,,
GENESYS,146.45,148.9,143.3,146.6,147,,,,
GENUSPAPER,9.75,10.05,9.6,9.95,10.05,,,,
GENUSPOWER,68.4,69.4,67.4,67.75,67.6,,,,
GEOJITFSL,79.55,80.45,78.95,79.15,79,,,,
GEPIL,315.1,320.3,315.1,318.3,318,,,,
GESHIP,368.8,375.5,364.75,367.75,368.3,,,,
GET&D,132.7,135.6,132,134.35,134.7,,,,
GFLLIMITED,65.3,74.9,64,73.25,72.9,,,,
GFSTEELS,1.8,1.8,1.8,1.8,1.8,,,,
GHCL,382,390.4,376.25,385.55,387.1,,,,
GICHSGFIN,156.4,158.4,155.65,156.35,156.2,,,,
GICRE,144.7,150.3,144.55,147.95,147.45,,,,
GILLANDERS,46,47,46,46.8,46.8,,,,
GILLETTE,6155,6174.9,6025.15,6051.7,6066.05,,,,
GINNIFILA,37.7,38.5,35.25,36.05,36.5,,,,
GIPCL,83.7,84.5,83.35,83.85,84,,,,
GISOLUTION,2.85,2.85,2.75,2.75,2.75,,,,
GKWLIMITED,692.35,692.35,667.1,671.7,667.1,,,,
GLAND,3821,3863.35,3795.05,3812.35,3813,,,,
GLAXO,1545,1584.45,1530,1562.7,1567,,,,
GLENMARK,520.3,533.65,520,531.55,531.5,,,,
GLFL,3.25,3.25,3.25,3.25,3.25,,,,
GLOBAL,45.95,45.95,43.8,44.4,44.4,,,,
GLOBALVECT,51.4,53.8,51,53.55,53.5,,,,
GLOBE,10.55,10.9,10.5,10.8,10.8,,,,
GLOBUSSPR,1273.35,1273.35,1232,1273.35,1273.35,,,,
GLS,670.2,691.35,667.1,687.25,684.55,,,,
GMBREW,581.2,593,578.45,581.7,580,,,,
GMDCLTD,69.35,71.1,68.9,69.1,69.1,,,,
GMMPFAUDLR,4422.25,4480.25,4402,4424.5,4435,,,,
GMRINFRA,30.2,30.3,29.8,30,29.9,,,,
GNA,820,825,805,813.95,814,,,,
GNFC,338.1,344.35,337.7,339.85,340,,,,
GOACARBON,379.9,382.6,372,376.95,376,,,,
GOCLCORP,266,274.95,263.65,269.5,273.05,,,,
GODFRYPHLP,975.2,1014.4,975.2,997.25,997.5,,,,
GODHA,35.7,35.7,33.95,33.95,33.95,,,,
GODREJAGRO,652.65,655.5,640.1,645.9,647.35,,,,
GODREJCP,1123.3,1125,1110.3,1114.05,1114,,,,
GODREJIND,558.2,560,547.8,551.2,548.15,,,,
GODREJPROP,1614,1629,1606,1615.8,1614,,,,
GOENKA,1.4,1.4,1.35,1.4,1.4,,,,
GOKEX,208.5,213,204.45,206.35,207.4,,,,
GOKUL,27.75,28.2,27.4,27.95,28.2,,,,
GOKULAGRO,39,40.5,38.1,39.7,39.65,,,,
GOLDBEES,41.12,41.12,40.34,40.73,40.73,,,,
GOLDENTOBC,89.3,96,89,92,91.6,,,,
GOLDIAM,1041.65,1070,1000.05,1018.2,1020,,,,
GOLDSHARE,41.6,41.65,41.15,41.25,41.3,,,,
GOLDTECH,27.05,27.05,27.05,27.05,27.05,,,,
GOODLUCK,309,323.75,306,310.25,310.2,,,,
GOODYEAR,1025,1039.65,1021.55,1025.9,1027.8,,,,
GPIL,1270.5,1270.5,1241.15,1270.5,1270.5,,,,
GPPL,101.2,101.75,100.9,101.6,101.75,,,,
GPTINFRA,89,89.95,87.1,88.15,87.75,,,,
GRANULES,325,337.4,324.05,335.6,336.2,,,,
GRAPHITE,640,645,632.1,633.85,633.5,,,,
GRASIM,1610,1619.9,1594,1611.8,1611,,,,
GRAUWEIL,62,65,62,64.4,64.45,,,,
GRAVITA,205,211.75,203.5,204.5,204,,,,
GREAVESCOT,141.75,148.85,140.1,147.8,147.8,,,,
GREENLAM,1420,1429.8,1400,1403.3,1404.3,,,,
GREENPANEL,308.7,317.45,293.25,298.1,293.25,,,,
GREENPLY,177.85,177.85,174.35,174.95,174.55,,,,
GREENPOWER,3,3.15,3,3.15,3.15,,,,
GRINDWELL,1498,1507.85,1448.15,1460.7,1452.5,,,,
GRINFRA,1585,1608,1553.6,1568.4,1560,,,,
GROBTEA,1038.5,1055,1000,1008.5,1005.1,,,,
GRPLTD,956.4,973.4,940.5,955.05,951.85,,,,
GRSE,195.35,195.4,191.05,192.25,192,,,,
GSCLCEMENT,51.2,52.3,50.95,51.1,51,,,,
GSFC,107.1,110.4,107.1,109.3,110,,,,
GSPL,354.05,354.05,348,349.35,349.95,,,,
GSS,85.95,87.45,85.1,85.6,85.1,,,,
GTL,15.05,15.55,14.75,15.15,15.2,,,,
GTLINFRA,1.6,1.6,1.6,1.6,1.6,,,,
GTNTEX,7.55,8.2,7.55,7.55,7.55,,,,
GTPL,232.95,235,228.65,231.35,232,,,,
GUFICBIO,199.7,205,197.7,198.45,199,,,,
GUJALKALI,501.4,516,493,496.75,496,,,,
GUJAPOLLO,223.5,223.6,218,218.9,221.55,,,,
GUJGASLTD,676,678.75,668,672.7,673.1,,,,
GUJRAFFIA,38.95,38.95,37.55,38.3,38.5,,,,
GULFOILLUB,606,609.25,602.75,606.05,607,,,,
GULFPETRO,55,56.05,54.7,55.2,55.5,,,,
GULPOLY,251,254.6,245.05,245.6,247.9,,,,
HAL,1412.3,1441.75,1369.95,1409.95,1407.3,,,,
HAPPSTMNDS,1488,1515,1486.25,1499.25,1499.5,,,,
HARRMALAYA,197.65,198.95,196,196.3,196.45,,,,
HATHWAY,23.65,25.75,23.6,25.1,25.05,,,,
HATSUN,1275,1517.9,1271,1463.95,1492,,,,
HAVELLS,1450.3,1471.45,1450.1,1465.55,1465.05,,,,
HAVISHA,1.3,1.35,1.25,1.25,1.25,,,,
HBANKETF,371.88,371.88,363.98,367.1,367.38,,,,
HBLPOWER,49.15,49.5,48.6,48.8,48.85,,,,
HBSL,39.95,39.95,36.65,38.7,38.05,,,,
HCC,10.1,10.4,10.05,10.25,10.2,,,,
HCG,240.1,243.7,236.9,238.55,238.8,,,,
HCL-INSYS,14.05,14.05,13.8,14.05,14.05,,,,
HCLTECH,1216,1240.6,1207,1238.65,1237,,,,
HDFC,2864.95,2869,2810,2818.05,2820.2,,,,
HDFC,871.1,871.1,856,856,856,,,,
HDFCAMC,3314,3338,3255,3268.9,3268,,,,
HDFCBANK,1560,1564.5,1546.6,1548.55,1550,,,,
HDFCLIFE,737.8,744,736.1,739.2,739,,,,
HDFCMFGETF,41.74,41.89,41.74,41.8,41.83,,,,
HDFCNIFETF,186.9,186.9,184,185.68,185.7,,,,
HDFCSENETF,633.99,633.99,625,628.73,628.85,,,,
HDIL,4.65,4.7,4.55,4.55,4.55,,,,
HEG,2276,2290.95,2245,2255.2,2248,,,,
HEIDELBERG,264,268.4,264,266.6,267,,,,
HEMIPROP,132.95,142.5,132.4,139.7,139.8,,,,
HERANBA,775.35,781.9,769.45,776.65,775.3,,,,
HERCULES,142.7,143.1,140.05,141.55,141.8,,,,
HERITGFOOD,459.8,462,451,454.8,454,,,,
HEROMOTOCO,2800,2861,2800,2851.7,2846,,,,
HESTERBIO,2605,2620,2525.05,2539.3,2550,,,,
HEXATRADEX,186.35,194.9,186,191.1,188.3,,,,
HFCL,78.5,80.9,78.4,79.4,79.5,,,,
HGINFRA,602.7,617.85,591.55,609.4,609,,,,
HGS,3055,3089,2975.9,3015.3,2999,,,,
HIKAL,656.75,676,650,654,655,,,,
HIL,5312,5330.8,5205.55,5264.55,5286,,,,
HILTON,14.2,14.9,14,14.65,14.7,,,,
HIMATSEIDE,253,254,247,251.9,251.3,,,,
HINDALCO,483.1,483.45,473.2,477.95,478,,,,
HINDCOMPOS,300.75,313.45,300.75,305.25,304.65,,,,
HINDCON,61.5,62.3,60.6,61.1,61.1,,,,
HINDCOPPER,125.45,129.75,124.1,126,125.95,,,,
HINDMOTORS,7.75,7.75,7.5,7.65,7.6,,,,
HINDNATGLS,35.9,37.15,35,37.15,37.15,,,,
HINDOILEXP,195,204.5,192.3,196.65,195.75,,,,
HINDPETRO,272.45,275.85,270.7,274.15,274.5,,,,
HINDUNILVR,2802,2804,2751.05,2762.55,2764.45,,,,
HINDZINC,338,338.8,331.05,333,333,,,,
HIRECT,212,215.5,205.5,206.65,206.25,,,,
HISARMETAL,130.15,138.75,130,133.2,132.5,,,,
HITECH,604.7,620,600,614.1,614,,,,
HITECHCORP,228.9,237.6,217.6,228.5,230.6,,,,
HITECHGEAR,275.65,282,274.25,277.4,276.25,,,,
HLEGLAS,4675.1,4769.1,4550,4621.1,4620,,,,
HLVLTD,8.95,9.15,8.8,9.05,9.1,,,,
HMT,28,29.1,27.5,28.15,28,,,,
HMVL,75.75,78.4,75.55,77.8,77.9,,,,
HNDFDS,2037,2064,2005,2018.35,2020,,,,
HNGSNGBEES,332.2,332.7,327.03,329.73,329.6,,,,
HOMEFIRST,575.25,582,575,578.9,575.1,,,,
HONAUT,42807.55,42807.55,42013.95,42243.05,42200,,,,
HONDAPOWER,1220.3,1220.3,1202.55,1213.4,1210.35,,,,
HOVS,58.5,59,55.5,56.7,56.5,,,,
HPL,71.8,71.95,69.5,70.05,70.25,,,,
HSCL,47.1,47.85,46.95,47.2,47.1,,,,
HSIL,238.05,244.3,235,243.15,243.1,,,,
HTMEDIA,24.7,27,24.25,25.25,25.3,,,,
HUBTOWN,30.7,31.5,29.25,30,30,,,,
HUDCO,43.35,43.95,43.15,43.6,43.6,,,,
HUDCO,1059.5,1059.99,1059,1059,1059,,,,
HUDCO,1076.8,1079,1076.8,1079,1079,,,,
HUDCO,1199.9,1200,1198,1199.33,1200,,,,
HUDCO,1167.5,1168,1167.5,1168,1168,,,,
HUDCO,1250,1250,1249,1249,1249,,,,
HUDCO,1265,1265,1265,1265,1265,,,,
HUDCO,1329.89,1334.5,1317,1331.99,1332,,,,
HUDCO,1462,1462,1452,1452,1452,,,,
HUHTAMAKI,263,270,262.95,268.35,267.35,,,,
IBMFNIFTY,173.51,181,173.2,174.86,175.37,,,,
IBREALEST,142.25,144,137.55,139.8,139.15,,,,
IBUCCREDIT,941,941,940,940,940,,,,
IBUCCREDIT,918.2,920,909.2,909.2,909.2,,,,
IBULHSGFIN,230,240.35,229.6,239.3,239.05,,,,
IBULHSGFIN,979.99,979.99,979.99,979.99,979.99,,,,
IBULHSGFIN,962,962,955,955,955,,,,
IBULHSGFIN,1325,1325,1305,1305,1305,,,,
IBULHSGFIN,990,990,970,970,970,,,,
ICDSLTD,161.2,161.2,145.9,145.9,145.9,,,,
ICEMAKE,75.85,77,74.75,75.35,75,,,,
ICICI500,248.55,248.55,245,245.2,245.15,,,,
ICICIALPLV,184.45,187,181,181.69,182,,,,
ICICIB22,42.5,42.97,42.18,42.91,42.9,,,,
ICICIBANK,713.25,714,706.5,707.45,707.95,,,,
ICICIBANKN,374.7,374.7,364.43,364.49,364.9,,,,
ICICIBANKP,188,189.88,187,187.77,187.6,,,,
ICICIFMCG,414.95,414.95,405.05,406.22,406.25,,,,
ICICIGI,1624.95,1629.6,1578.7,1614.7,1606.5,,,,
ICICIGOLD,41.41,41.87,41.41,41.76,41.71,,,,
ICICILIQ,1005,1008.9,999.01,999.99,999.99,,,,
ICICILOVOL,139.26,144.2,138.27,142.91,142.91,,,,
ICICIM150,114.7,116.7,111.1,113.13,112.9,,,,
ICICIMCAP,106.2,106.2,104.2,105.37,105.9,,,,
ICICINF100,192.39,192.98,190.21,191.73,191.75,,,,
ICICINIFTY,199,199,185.75,186.51,186.4,,,,
ICICINV20,95.19,95.19,94,95.04,95.05,,,,
ICICINXT50,44,44.23,43.74,43.83,43.76,,,,
ICICIPHARM,91.1,92,91.1,91.79,91.79,,,,
ICICIPRULI,698.8,700.25,687.5,689.9,689.9,,,,
ICICISENSX,634,635,631.9,633.25,633.25,,,,
ICICITECH,358,360.45,352.2,359.72,360.29,,,,
ICIL,277.8,280,268,268.75,270,,,,
ICRA,3623,3623,3535,3545.3,3549,,,,
IDBI,39.5,39.5,38.9,39,39.1,,,,
IDBIGOLD,4343.95,4360,4309.4,4311.5,4309.4,,,,
IDEA,7.95,9,7.9,8.7,8.75,,,,
IDFC,56.7,57.1,53.15,54.85,54.7,,,,
IDFCFIRSTB,47,48.5,46.9,47.95,47.9,,,,
IDFCFIRSTB,5300,5375,5300,5365,5365,,,,
IDFCFIRSTB,11485.11,11550,11485.11,11550,11550,,,,
IDFCFIRSTB,5200,5215,5200,5206.66,5205,,,,
IDFCFIRSTB,11000,11039,11000,11039,11039,,,,
IDFNIFTYET,164.8,182.81,164.8,182.55,182.55,,,,
IEX,596.9,597,583.5,586.3,586.85,,,,
IFBAGRO,566.8,577.45,551.6,557.65,556,,,,
IFBIND,1084,1084,1037.2,1075.9,1073.15,,,,
IFCI,11.35,11.6,11.15,11.4,11.45,,,,
IFCI,1070.1,1072.1,1070.1,1072.1,1072.1,,,,
IFCI,1074,1074,1054,1054.06,1054,,,,
IFCI,1950,1970,1950,1950,1950,,,,
IFCI,1835,1835,1835,1835,1835,,,,
IFGLEXPOR,330,339.8,330,334.65,333,,,,
IGARASHI,514,549.9,513.2,542.6,545.5,,,,
IGL,600,602.05,585.45,587,587,,,,
IGPL,646,646,631.2,632.4,631.7,,,,
IIFCL,1421.01,1423,1420,1423,1423,,,,
IIFL,317,322.85,304.95,309.2,312.5,,,,
IIFL,1057.9,1057.9,1057.9,1057.9,1057.9,,,,
IIFL,1349,1349,1272,1280,1280,,,,
IIFL,1030,1030,1020,1022.19,1021,,,,
IIFL,1065,1065,1057,1059,1057,,,,
IIFL,1053.55,1053.55,1053.55,1053.55,1053.55,,,,
IIFL,1040.8,1048.5,1040.8,1048.5,1048.5,,,,
IIFL,1022.23,1022.23,1022.23,1022.23,1022.23,,,,
IIFL,1005,1005,996,996,996,,,,
IIFL,995.3,998.99,995.25,997.24,997,,,,
IIFL,994,996,994,996,996,,,,
IIFLSEC,95.9,97.9,93.8,94.35,94.85,,,,
IIFLWAM,1710,1715,1651.55,1665.1,1657.5,,,,
IIHFL,989,995,989,991,991,,,,
IIHFL,995,995,988.51,990.26,992,,,,
IIHFL,912,935,912,932.33,931,,,,
IITL,66,70.6,65.85,70.6,70.6,,,,
IL&FSENGG,4.65,4.65,4.35,4.35,4.35,,,,
IL&FSTRANS,3.25,3.5,3.25,3.25,3.25,,,,
IMAGICAA,7.85,7.95,7.7,7.8,7.8,,,,
IMFA,674.6,690,668.05,680.1,686,,,,
IMPAL,757.3,769.9,755,756.35,756,,,,
INCREDIBLE,27,28.3,26.6,27.65,27.65,,,,
INDBANK,24,24.35,23.15,23.95,23.9,,,,
INDHOTEL,154.95,155.5,152.4,153.9,153.6,,,,
INDIACEM,180.2,182.45,179.15,181.35,181.5,,,,
INDIAGLYCO,701.1,706.65,686.2,687.45,689.7,,,,
INDIAMART,8775,8901,8720,8776.5,8759.95,,,,
INDIANB,125.75,129.15,125.45,128.6,128.55,,,,
INDIANCARD,183,183,170.3,176.8,173.2,,,,
INDIANHUME,199,201.75,199,199.9,199.85,,,,
INDIGO,1895,1948.95,1893.45,1943,1942.95,,,,
INDIGOPNTS,2596,2596,2568,2574.8,2575,,,,
INDIGRID,135.95,136.9,135,135.11,135,,,,
INDIGRID,1021,1021,1021,1021,1021,,,,
INDIGRID,1070,1070.5,1069.99,1069.99,1069.99,,,,
INDIGRID,1058.5,1059.55,1058.5,1059.55,1059.55,,,,
INDLMETER,11.8,12.3,11.6,12,12,,,,
INDNIPPON,359.6,362.7,356,359.4,359.9,,,,
INDOCO,458.7,471.5,458.65,464.25,463.5,,,,
INDORAMA,53.25,54.6,50.4,54,54.2,,,,
INDOSOLAR,2.55,2.55,2.45,2.55,2.55,,,,
INDOSTAR,296.4,300.4,293,294.9,297,,,,
INDOTECH,159.65,160.95,155.15,157.65,157,,,,
INDOTHAI,86.3,88,86.3,87.3,88,,,,
INDOWIND,6.6,6.7,6.3,6.4,6.45,,,,
INDRAMEDCO,80.75,81.55,79.2,79.7,79.95,,,,
INDSWFTLAB,70,71,68.5,68.8,68.9,,,,
INDSWFTLTD,10.2,10.2,9.45,9.8,9.9,,,,
INDTERRAIN,41.65,42.5,40.3,40.95,41.1,,,,
INDUSINDBK,999,1039,997.6,1036.6,1035.5,,,,
INDUSTOWER,238.85,249.8,238,246.25,245.9,,,,
INEOSSTYRO,1425,1445,1401,1407.3,1405.7,,,,
INFIBEAM,46.25,46.5,44.85,45.2,45.35,,,,
INFOBEAN,362.45,370.2,360,364.05,365,,,,
INFRABEES,500.23,510,500.23,505.17,505.42,,,,
INFY,1695.95,1695.95,1678.6,1686.15,1686.5,,,,
INGERRAND,972,992,963.1,979.55,976,,,,
INNOVATIVE,11.65,11.65,10.8,10.8,10.8,,,,
INOXLEISUR,300.6,305.9,300.6,304.8,304,,,,
INOXWIND,101.85,104.8,100.25,103.15,103.8,,,,
INSECTICID,731.95,740,725,731.45,733.95,,,,
INSPIRISYS,47,48.9,46.5,48.5,48.5,,,,
INTELLECT,649.9,649.9,636.25,643.2,643,,,,
INTENTECH,73.95,74,71.1,71.95,72.4,,,,
INVENTURE,2.9,3,2.9,2.9,2.95,,,,
IOB,19.6,19.8,19.6,19.7,19.7,,,,
IOC,114,115.9,114,115.25,115.15,,,,
IOLCP,559,605.8,558.5,592.75,593.5,,,,
IPCALAB,2600,2679.8,2571.65,2637.5,2679.8,,,,
IPL,326.4,329.05,320,322.55,323,,,,
IRB,170.6,179,170.25,176.7,178,,,,
IRBINVIT,57.75,57.75,57.2,57.54,57.55,,,,
IRCON,45.3,45.5,45.2,45.3,45.4,,,,
IRCTC,3487,3758.8,3476,3738.45,3723,,,,
IREDA,1288,1288,1288,1288,1288,,,,
IREDA,1260,1260,1260,1260,1260,,,,
IRFC,23.1,23.1,22.9,22.95,22.95,,,,
IRFC,1093.75,1093.75,1093.75,1093.75,1093.75,,,,
IRFC,1237,1250,1237,1245.05,1245.05,,,,
IRFC,1211.75,1220,1210.11,1210.11,1210.11,,,,
IRFC,1145,1145,1135,1135,1135,,,,
IRFC,1305,1306,1282.02,1282.02,1282.02,,,,
IRFC,1295,1305,1292,1302.57,1302.99,,,,
IRFC,1274,1274,1256.21,1256.21,1256.21,,,,
IRFC,1275,1275,1270.21,1273,1273,,,,
IRISDOREME,182,182.8,180,180,180,,,,
ISEC,717.65,738.45,717.65,732.3,730.2,,,,
ISFT,148.8,148.8,138.25,138.4,138.25,,,,
ISGEC,732.5,810,728,794.05,806,,,,
ISMTLTD,27.1,28.4,27.05,28.4,28.4,,,,
ITC,214.9,217.25,214.2,216.1,216.75,,,,
ITDC,389.5,392.95,386.3,387.4,389.9,,,,
ITDCEM,78.2,83.4,78.2,82.85,83.3,,,,
ITI,121.8,121.8,120,120.25,120.1,,,,
IVC,5.95,6.2,5.85,6,6,,,,
IVP,117.6,117.85,115.55,116.7,116.8,,,,
IVZINGOLD,4202.05,4287.95,4202.05,4213.75,4229,,,,
IVZINNIFTY,1885.55,1903.55,1885.55,1903.55,1903.55,,,,
IWEL,689.05,689.05,650,652.6,653,,,,
IZMO,97.9,97.9,93.5,95.65,96.4,,,,
J&KBANK,37.1,37.8,37.1,37.4,37.45,,,,
JAGRAN,56.6,59.65,56.6,58.65,58.6,,,,
JAGSNPHARM,164.7,169.7,161.3,162.85,163,,,,
JAIBALAJI,55.3,55.5,53.5,53.85,54.55,,,,
JAICORPLTD,137.3,139.65,135.4,136.55,136.5,,,,
JAINSTUDIO,1.9,1.95,1.85,1.85,1.85,,,,
JAIPURKURT,62.1,62.1,56.4,57.7,59.45,,,,
JALAN,14.75,14.75,14.05,14.5,14.5,,,,
JAMNAAUTO,85.2,86.45,85.1,85.65,85.5,,,,
JASH,490.05,510,490.05,507.7,510,,,,
JAYAGROGN,272,274.7,260.7,262.05,262.5,,,,
JAYBARMARU,189.9,195.8,186.95,192.4,193.2,,,,
JAYNECOIND,21.65,21.65,20.55,21.05,20.9,,,,
JAYSREETEA,109.85,110,108.25,109.1,108.9,,,,
JBCHEPHARM,1774,1779.5,1728,1732.6,1729.35,,,,
JBFIND,28.35,28.5,26.25,27.3,27.1,,,,
JBMA,460.95,495,456.35,488.45,488.8,,,,
JCHAC,2258,2258,2230,2243.9,2242,,,,
JETAIRWAYS,88.6,88.6,88.6,88.6,88.6,,,,
JETFREIGHT,41.3,41.3,41.3,41.3,41.3,,,,
JHS,27,27.8,27,27.15,27,,,,
JINDALPHOT,107.3,108.4,103,104.05,104.2,,,,
JINDALPOLY,1013,1089.45,1006,1072.15,1071.9,,,,
JINDALSAW,120.7,122.35,120.15,121.5,121.15,,,,
JINDALSTEL,405,408.3,400.25,401.1,400.9,,,,
JINDRILL,136.1,139.35,133.5,137.2,136.95,,,,
JINDWORLD,81.9,87.95,81.65,86.4,86.25,,,,
JISLDVREQS,22.2,23.8,22.05,23.35,23.15,,,,
JISLJALEQS,36.4,38.2,35.15,36.1,36.3,,,,
JITFINFRA,110.1,110.1,110.1,110.1,110.1,,,,
JKCEMENT,3492,3516.55,3381,3391.9,3394,,,,
JKIL,194.8,197.25,193.3,194.85,194.15,,,,
JKLAKSHMI,730.4,747,721.85,736.3,737,,,,
JKPAPER,253.5,254.8,248,250.6,250.4,,,,
JKTYRE,151.85,157.95,150.95,156.4,156.3,,,,
JMA,61.6,64,61.6,63.85,63.9,,,,
